Org,Month,dataset-1,dataset-2
Org1,Jan-17,1.96,1.75
Org1,Feb-17,1.381,2.016
Org1,Mar-17,1.73,1.75
Org1,Apr-17,2.202,1.755
Org1,May-17,1.467,1.755
Org1,Jun-17,1.315,2.09
Org1,Jul-17,1.842,2.09
Org1,Aug-17,2.009,1.835
Org1,Sep-17,2.331,2.016
Org1,Oct-17,2.22,2.09
Org1,Nov-17,2.019,1.922
Org2,Jan-17,1.15,1.922
Org2,Feb-17,2.37,2.049
Org2,Mar-17,1.999,1.948
Org2,Apr-17,2.558,2.314
Org2,May-17,2.115,1.973
Org2,Jun-17,1.752,1.922
Org2,Jul-17,1.849,1.755
Org2,Aug-17,2.192,1.752
Org2,Sep-17,2.246,1.973
Org2,Oct-17,1.563,1.755
Org2,Nov-17,1.901,1.835
Org3,Jan-17,1.72,1.835
Org3,Feb-17,1.261,1.835
Org3,Mar-17,2.57,2.049
Org3,Apr-17,1.864,2.049
Org3,May-17,1.875,1.752
Org3,Jun-17,2.258,1.755
Org3,Jul-17,2.258,2.09
Org3,Aug-17,2.194,1.948
Org3,Sep-17,2.012,1.835
Org3,Oct-17,1.07,1.752
Org3,Nov-17,2.33,1.922
Org4,Jan-17,2.153,1.973
Org4,Feb-17,1.639,1.75
Org4,Mar-17,1.826,1.948
Org4,Apr-17,1.915,2.049
Org4,May-17,2.087,2.016
Org4,Jun-17,1.235,1.755
Org4,Jul-17,2.508,2.314
Org4,Aug-17,1.909,1.973
Org4,Sep-17,1.747,2.314
Org4,Oct-17,1.933,2.09
Org4,Nov-17,2.177,1.973
Org5,Jan-17,1.854,2.016
Org5,Feb-17,1.88,1.922
Org5,Mar-17,1.372,1.948
Org5,Apr-17,2.452,1.948
Org5,May-17,2.137,2.314
Org5,Jun-17,2.212,2.314
Org5,Jul-17,2.923,2.314
Org5,Aug-17,2.111,2.314
Org5,Sep-17,2.031,2.016
Org5,Oct-17,1.768,1.948
Org5,Nov-17,1.392,2.049
Our Org,Jan-17,1.84,1.973
Our Org,Feb-17,1.904,2.049
Our Org,Mar-17,2.329,2.049
Our Org,Apr-17,1.75,1.75
Our Org,May-17,1.373,1.973
Our Org,Jun-17,2.417,1.835
Our Org,Jul-17,2.528,2.09
Our Org,Aug-17,2.254,1.922
Our Org,Sep-17,1.76,1.752
Our Org,Oct-17,1.21,1.75
Our Org,Nov-17,1.714,1.755
Org 6,Jan-17,1.93,1.752
Org 6,Feb-17,1.528,1.835
Org 6,Mar-17,1.723,1.752
Org 6,Apr-17,1.699,1.75
Org 6,May-17,2.264,1.75
Org 6,Jun-17,1.897,2.016
Org 6,Jul-17,2.027,1.948
Org 6,Aug-17,2.537,2.09
Org 6,Sep-17,2.07,1.922
Org 6,Oct-17,2.53,2.016
Org 6,Nov-17,1.717,1.752
